0,14.373713,46.671879,7.380243,2,1
1,15.882196,37.996284,5.532631,3,2
2,15.575124,57.515121,20.874308,4,3
3,16.552237,75.171745,18.749619,5,4
4,13.832417,70.828430,19.939415,6,5
5,12.009336,80.498825,14.227093,7,6
6,11.139928,76.026817,8.639567,8,7
7,10.312972,69.698936,7.454368,8,8
8,7.171452,62.174759,11.421284,7,8
9,9.572447,64.109230,18.306744,8,7
10,10.460712,38.882748,10.510891,9,8
11,12.814827,35.777878,1.566722,10,9
0,12.492516,49.647240,0.000000,9,10
1,16.543961,55.428612,6.211306,8,9
2,17.513416,62.020638,15.181551,7,8
3,16.045429,72.436691,12.265978,8,7
4,13.065714,83.607269,4.341296,9,8
5,14.610909,70.890587,1.427055,8,9
6,11.361551,79.501221,0.000000,7,8
7,10.785054,66.855553,4.272740,6,7
8,8.653031,66.565186,8.037841,5,6
9,8.656302,57.198631,16.935280,6,5
10,9.657107,55.524395,24.491083,7,6
11,11.957447,36.037800,17.552635,8,7
0,14.898901,45.640858,12.076527,9,8
1,15.882744,53.855045,16.309086,10,9
2,15.782405,56.041805,22.874046,11,10
3,15.646986,68.748093,20.929031,12,11
4,14.364938,83.079117,9.026127,13,12
5,14.950359,73.835983,0.000000,12,13
6,9.973686,78.925690,0.000000,11,12
7,8.489239,65.642136,0.000000,10,11
8,7.843650,67.090843,0.000000,9,10
9,7.475749,64.243690,1.913325,8,9
10,8.786892,45.877697,0.000000,7,8
11,9.006165,40.937794,0.000000,6,7
0,13.778313,44.206211,0.000000,5,6
1,15.130207,48.659599,0.457067,4,5
2,16.276581,54.187855,10.003100,3,4
3,16.638893,64.392387,22.384579,4,3
4,15.260571,69.819344,25.890158,5,4
5,12.803058,87.917145,20.898287,6,5
6,11.088314,86.737442,14.912724,7,6
7,9.120728,81.373688,8.076265,8,7
8,7.381286,59.058746,12.867996,8,8
9,10.088877,60.714825,21.943649,9,8
10,9.945874,44.024975,14.265930,10,9
11,11.825985,34.589775,4.295877,11,10
0,12.615231,39.111214,0.000000,10,11
1,16.381804,45.998646,0.000000,9,10
2,14.814602,55.866619,7.747486,8,9
3,14.794988,66.007599,13.600458,7,8
4,15.844097,79.805542,6.983018,8,7
5,14.052553,83.695869,0.000000,7,8
6,12.001562,71.438095,0.000000,6,7
7,10.114861,77.002228,0.000000,5,6
8,7.699530,64.414703,6.065996,4,5
9,7.918058,55.367088,13.213253,5,4
10,7.650595,51.310432,14.494051,6,5
11,9.260581,49.959671,14.324123,7,6
0,11.947808,42.057693,8.090834,8,7
1,14.353369,46.530193,3.345620,8,8
2,14.888054,59.033211,15.003910,7,8
3,16.125811,70.371216,14.524210,8,7
4,16.507013,78.205315,7.207078,9,8
5,14.453017,87.501389,0.000000,8,9
6,12.938616,71.371742,0.000000,7,8
7,8.399793,66.797195,2.208162,6,7
8,8.797856,65.570114,7.396227,5,6
9,7.510447,53.910721,11.455566,6,5
10,10.606647,50.147583,12.207863,7,6
11,10.908404,32.645527,5.218092,8,7
